Caller,Target,Params
	,auto_resize_column
	,scroll
auto_resize_column,,"unsigned col"
	auto_resize_column,clamp
	auto_resize_column,get_col_max_width
	auto_resize_column,redraw_rows
	auto_resize_column,resize_column
calc_visible_fields,,""
	calc_visible_fields,get_cell_x
cancel_edit,,""
	cancel_edit,SetFocus
	cancel_edit,ShowWindow
clear_anchor,,""
	clear_anchor,redraw_rows
clear_and_open,,"TCHAR *fn"
	clear_and_open,delete_table
	clear_and_open,MessageBox
	clear_and_open,open_csv
	clear_and_open,redraw_rows
clear_cells,,"Table *table, unsigned row, unsigned col, unsigned n"
	clear_cells,col_count
	clear_cells,free
	clear_cells,min
clear_file,,""
	clear_file,delete_table
	clear_file,redraw_rows
clear_rows,,"Table *table, unsigned row, unsigned n"
	clear_rows,clear_cells
	clear_rows,col_count
	clear_rows,delete_cells
	clear_rows,memmove
	clear_rows,min
clear_selected_cells,,""
	clear_selected_cells,clear_cells
	clear_selected_cells,redraw_rows
clear_selected_rows,,""
	clear_selected_rows,clear_rows
	clear_selected_rows,redraw_rows
command,,"int cmd"
	command,auto_resize_column
	command,cancel_edit
	command,clear_anchor
	command,clear_and_open
	command,clear_file
	command,clear_selected_cells
	command,clear_selected_rows
	command,col_count
	command,comment
	command,copy_to_clipboard
	command,delete_selected_cells
	command,delete_selected_rows
	command,end_edit
	command,insert_cells
	command,insert_datetime
	command,insert_rows
	command,jump_cursor
	command,move_cursor
	command,redraw_rows
	command,row_count
	command,save_csv
	command,scroll
	command,set_anchor
	command,start_edit
copy_to_clipboard,,""
	copy_to_clipboard,CloseClipboard
	copy_to_clipboard,EmptyClipboard
	copy_to_clipboard,fclose
	copy_to_clipboard,fopen
	copy_to_clipboard,fread
	copy_to_clipboard,ftell
	copy_to_clipboard,GlobalAlloc
	copy_to_clipboard,GlobalLock
	copy_to_clipboard,GlobalUnlock
	copy_to_clipboard,OpenClipboard
	copy_to_clipboard,rewind
	copy_to_clipboard,SetClipboardData
	copy_to_clipboard,tempnam
	copy_to_clipboard,unlink
	copy_to_clipboard,write_csv_cells
delete_rows,,"Table *table, unsigned row, unsigned n"
	delete_rows,clear_rows
	delete_rows,memmove
	delete_rows,min
	delete_rows,row_count
delete_selected_cells,,""
	delete_selected_cells,delete_cells
	delete_selected_cells,redraw_rows
delete_selected_rows,,""
	delete_selected_rows,delete_rows
	delete_selected_rows,redraw_rows
delete_table,,"Table *table"
	delete_table,col_count
	delete_table,delete_rows
	delete_table,try_cell
EditProc,,"HWND hwnd, UINT msg, WPARAM wparam, LPARAM lparam, UINT_PTR id, DWORD_PTR data"
	EditProc,command
	EditProc,DefSubclassProc
	EditProc,IsCtrlDown
end_edit,,""
	end_edit,cancel_edit
	end_edit,GetWindowTextLength
	end_edit,is_editing
	end_edit,redraw_rows
	end_edit,set_cell
enter_mouse_mode,,"HWND hwnd, unsigned mode, unsigned x, unsigned y"
	enter_mouse_mode,exit_mouse_mode
	enter_mouse_mode,SetCapture
	enter_mouse_mode,SetCursor
	enter_mouse_mode,SetTimer
exit_mouse_mode,,"HWND hwnd"
	exit_mouse_mode,KillTimer
	exit_mouse_mode,ReleaseCapture
	exit_mouse_mode,SetCursor
force_cell,,"Table *table, unsigned row, unsigned col"
	force_cell,col_count
	force_cell,get_cell
	force_cell,insert_cells
	force_cell,insert_rows
	force_cell,row_count
	force_cell,try_cell
get_cell_under,,"unsigned x, unsigned y, unsigned *rowp, unsigned *colp, unsigned *is_resizep"
get_col_max_width,,"unsigned col"
	get_col_max_width,max
	get_col_max_width,row_count
init_ui_display,,"HWND hwnd"
	init_ui_display,CreateCompatibleDC
	init_ui_display,CreateFont
	init_ui_display,GetDC
	init_ui_display,IsCtrlDown
	init_ui_display,IsShiftDown
	init_ui_display,ReleaseDC
	init_ui_display,SelectBitmap
	init_ui_display,SetLayeredWindowAttributes
init_ui_input,,"HWND hwnd"
	init_ui_input,col_count
	init_ui_input,CreateWindowEx
	init_ui_input,GetModuleHandle
	init_ui_input,LoadCursor
	init_ui_input,REALLOC
	init_ui_input,row_count
	init_ui_input,SetWindowFont
	init_ui_input,SetWindowSubclass
insert_cells,,"Table *table, unsigned row, unsigned col, unsigned n"
	insert_cells,memmove
	insert_cells,memset
	insert_cells,REALLOC
	insert_cells,row_count
insert_datetime,,"int include_time"
	insert_datetime,GetLocalTime
